canonical_duty_id,sentence_text,sentence_text_norm
abf61db702142f3df38f37e8f034e4c72b90f3ee,Performs aircraft inspections.,performs aircraft inspections
f224d1e1187e20c21c203c49a4fe899d64560c11,"Performs aircrew visual inspection; non-scheduled aircraft maintenance; and preflight, through-flight, and post flight inspections of aircraft away from home station.",performs aircrew visual inspection  non scheduled aircraft maintenance  and preflight  through flight  and post flight inspections of aircraft away from home station
4e71f889a465c1bff8cee112700030a7ecfaa2eb,Accomplishes preflight and post-flight records and reports.,accomplishes preflight and post flight records and reports
6e2d47f74a26c8aa7e24319aeda2f3276f11fc7d,Maintains aircraft forms and records during flight and while aircraft is away from home station.,maintains aircraft forms and records during flight and while aircraft is away from home station
0edae5e5cbd44d5bcbf2f560ae94c741a2d5c5e5,Manages cargo and passenger load briefings.,manages cargo and passenger load briefings
be381542d1cf90d814f27ef2046abe54c0789bb1,Accomplishes load planning of cargo and passenger loads if required.,accomplishes load planning of cargo and passenger loads if required
f18d8ff2a967d08743ce9bd0f8dd63a46c36613d,Supervises cargo and passenger loading for off-loading operations.,supervises cargo and passenger loading for off loading operations
386a52002836658d3ebd59d4d15b104cad081b2a,Directs the placement of material handling equipment to accomplish cargo on/off loading operations.,directs the placement of material handling equipment to accomplish cargo on off loading operations
86474ad380b5ad8faefd462ea62a2be4b3ccc9fc,Ensures cargo and passengers are placed according to load plans.,ensures cargo and passengers are placed according to load plans
e7d64cd43bdf73fa8ec21650c4f89dc02c83dc00,Determines cargo restraint requirements according to criteria and directs and checks the application of cargo restraint equipment.,determines cargo restraint requirements according to criteria and directs and checks the application of cargo restraint equipment
a68f094ef3a30a9de2949409f1979591dbd0de3b,Checks cargo/passenger loads against manifests.,checks cargo passenger loads against manifests
488a4cb0aba4608f0e0e2414040470ebb1fd891f,"Determines and verifies passenger, cargo, fuel, and emergency and special equipment distribution and weight.",determines and verifies passenger  cargo  fuel  and emergency and special equipment distribution and weight
23619168619decca57a87dd24e2e83edaa86dcd7,Computes and applies aircraft weight and balance.,computes and applies aircraft weight and balance
520cdb48e4856600d613d0213751de31ecf81c97,"Computes takeoff, climb, cruise, and landing data.",computes takeoff  climb  cruise  and landing data
54a4d7978de5dbdeb52f9a97ee0898a5fc9810fb,"Determines engine fuel consumption using airspeed, atmospheric data, charts, computer, or electronic calculator.",determines engine fuel consumption using airspeed  atmospheric data  charts  computer  or electronic calculator
7225d9d3dffbf636303dd592bd06b71e045f332b,Records actual aircraft performance data in flight engineer's log.,records actual aircraft performance data in flight engineer s log
4460bd609701e91b56a55a610b8521f898c24f16,Operates and monitors engine and aircraft systems controls and indicators according to flight manual procedures.,operates and monitors engine and aircraft systems controls and indicators according to flight manual procedures
45d2fba2b0bcb79afeafddc277beb8098354b0bf,"Assists pilot or performs engine starts, and monitors run-up, flight operations, and engine shutdown.",assists pilot or performs engine starts  and monitors run up  flight operations  and engine shutdown
171b1c1b23e038a91c21c4c625bfeab5ce5fb347,Operates engine controls to provide desired efficiency and economy.,operates engine controls to provide desired efficiency and economy
f030aa7808b5f5b1cccaa61c48fa47c220bf9d3b,Monitors engine instruments throughout period of operation.,monitors engine instruments throughout period of operation
d4d1d2376babd331f4fc2a9449f02319db547def,"Controls, monitors, and regulates aircraft systems such as electric, communication, navigation, hydraulic, pneumatic, fuel, air conditioning, and pressurization; ventilation; auxiliary power unit; and lubrication systems.",controls  monitors  and regulates aircraft systems such as electric  communication  navigation  hydraulic  pneumatic  fuel  air conditioning  and pressurization  ventilation  auxiliary power unit  and lubrication systems
a1724ce7cee4a5343e160601930e367997cf37ae,"Observes warning indicators and light for fire, overheat, depressurization, and system failure.",observes warning indicators and light for fire  overheat  depressurization  and system failure
629acb3ae22699d499f9d883b5e984b791d81e03,Reports abnormal conditions to pilot and recommends corrective action.,reports abnormal conditions to pilot and recommends corrective action
149be392e45962320171447307349ef0643cbfad,Monitors provides passenger comfort.,monitors provides passenger comfort
43d1630eba1818d04218980a42b2f364962b85a9,"Prepares and dispenses passenger meals, snacks, and refreshments.",prepares and dispenses passenger meals  snacks  and refreshments
833d4c1247e6e0239cfb449f5f09ff5548c7d043,Completes required aircraft forms documentation and border clearance requirements.,completes required aircraft forms documentation and border clearance requirements
2acd03f89dcfda5655d510c79ffb38adb2a348b3,"Visually monitors aircraft clearances (interior and exterior), identifies proximal threats to the aircraft and initiates corrective actions (aircraft scanning).",visually monitors aircraft clearances  interior and exterior   identifies proximal threats to the aircraft and initiates corrective actions  aircraft scanning
8e5241596d07a399bcc41e2778a8b1a8457d63e3,Performs in-flight refueling aircrew duties.,performs in flight refueling aircrew duties
67ca14516fae3e8e955d5c114f1dbc1c93dac078,Checks forms for equipment status.,checks forms for equipment status
f13f21919d8b26572d6b2a38eafff6536d858bcc,Performs visual and operational check of air refueling and associated systems and equipment.,performs visual and operational check of air refueling and associated systems and equipment
63c10561b8259f57a10cc6e0edbfb0a59bcfd22a,Performs in-flight operational check of air refueling systems.,performs in flight operational check of air refueling systems
2a3e38b43608784a034d8944d3fb108505be5028,Directs receiver aircraft into air refueling position.,directs receiver aircraft into air refueling position
6f74c2f274d0c63d118e74eae89170332068195f,Operates in-flight air refueling controls and switches to safely affect contact between tanker and receiver aircraft.,operates in flight air refueling controls and switches to safely affect contact between tanker and receiver aircraft
f0c55ce09ec1dbdbf315e7f92c36b3babf2a61f4,Monitors control panel for proper operation of equipment during air refueling and advises receiver pilot of actions required to safely maintain position within the air-refueling envelope.,monitors control panel for proper operation of equipment during air refueling and advises receiver pilot of actions required to safely maintain position within the air refueling envelope
442a913fed2cb707708c26e17ffee248924267b1,Keeps tanker pilot informed as to progress of air refueling operations.,keeps tanker pilot informed as to progress of air refueling operations
14234ca3d6201dd6b8d681fb4f4c67efd3769c42,Performs emergency operations and procedures as required for emergency off-load and on-load of fuel.,performs emergency operations and procedures as required for emergency off load and on load of fuel
3b4bdd7d4f75f695447e2ff6411b42484357ffc9,Ensures availability of fleet service equipment and receives and stows in-flight meals.,ensures availability of fleet service equipment and receives and stows in flight meals
a62e2d3c4b4f0aad358cbb1a92fdf67de6e5d835,"Accomplishes passenger briefings to include the use of emergency equipment, evacuation procedures, and border clearance requirements.",accomplishes passenger briefings to include the use of emergency equipment  evacuation procedures  and border clearance requirements
1a6bd173f2807b22588a906718b49e284c39156e,Demonstrates the use of passenger emergency oxygen systems and life vests.,demonstrates the use of passenger emergency oxygen systems and life vests
1350e990334e6f5baadd7f02f4110fc6eab50dd4,Supervises passengers in-flight.,supervises passengers in flight
1d5fd641a23d89744941192b13d0f0666a408d9b,Performs jumpmaster duties.,performs jumpmaster duties
91ef5a55bbbf61d529ccbb11935fb43439c3490f,Conducts cargo and personnel airdrops according to directives.,conducts cargo and personnel airdrops according to directives
2794da765affeec379bddd7871f91e965bd2232a,Attaches extraction parachutes to cargo and platforms.,attaches extraction parachutes to cargo and platforms
7925472a9855e5bf8f343ece6ebe7cbc88ad73c0,"Inspects cargo and platforms, extraction systems and connects static lines.",inspects cargo and platforms  extraction systems and connects static lines
109879e5d89cda52585852542764b326fe25e125,"Checks tiedowns, parachutes, containers, suspension systems, and extraction systems to ensure proper cargo extraction or release.",checks tiedowns  parachutes  containers  suspension systems  and extraction systems to ensure proper cargo extraction or release
ee00c3f1c4b3f1600217b21ec560ea34b421a16f,Operates aircraft airdrop systems and supervises cargo and paratroopers exiting the aircraft.,operates aircraft airdrop systems and supervises cargo and paratroopers exiting the aircraft
29407f6a766cc6069c24ce2241ad42a3eae0acba,"Performs pre-flight, thru-flight, post-flight, and operational checks/inspection of aircraft electrical, propulsion, hydraulic, pneumatic, environmental, emergency and flight control systems in accordance with applicable flight manuals.",performs pre flight  thru flight  post flight  and operational checks inspection of aircraft electrical  propulsion  hydraulic  pneumatic  environmental  emergency and flight control systems in accordance with applicable flight manuals
49892072a2280b733a01c562b8558052163c99f8,"Computes and certifies aircraft performance/weight and balance data for takeoff, in-flight, cruise, and landing for mission execution.",computes and certifies aircraft performance weight and balance data for takeoff  in flight  cruise  and landing for mission execution
42f2a2be78dbcbc7ad88df6435f8d204968f87f9,Configures aircraft in accordance with mission determination.,configures aircraft in accordance with mission determination
6ceae53c87cc056af264b344177ac0fe6cb967f5,Coordinates logistical support.,coordinates logistical support
cb372b16bf06bed9590bcd666665838898591e9a,Operates and monitors engine and aircraft systems controls and indicators.,operates and monitors engine and aircraft systems controls and indicators
ec991dd163a864a429068b5e1251e4c0db3488e1,"Performs engine starts, and monitors run-up, flight operations, and engine shutdown.",performs engine starts  and monitors run up  flight operations  and engine shutdown
2fec395bb31c3bba1172569626215d8117200812,"Operates engine controls, aircraft systems, such as electric, communication, navigation, hydraulic, pneumatic, fuel, air conditioning, pressurization, ventilation, and auxiliary power unit.",operates engine controls  aircraft systems  such as electric  communication  navigation  hydraulic  pneumatic  fuel  air conditioning  pressurization  ventilation  and auxiliary power unit
598a8ef1575ca79a9be9295f78d728e77d39f3b9,"Observes aircraft systems, instrumentations, and warning indicators for malfunctions.",observes aircraft systems  instrumentations  and warning indicators for malfunctions
72feb2df7cb3269bef4ae051fe8bbbae584233d8,"Analyzes malfunctions, determines aircraft status/mission impact, and applies decisive actions in accordance with flight manuals, and applies risk mitigation to return systems within tolerable operation for mission success.",analyzes malfunctions  determines aircraft status mission impact  and applies decisive actions in accordance with flight manuals  and applies risk mitigation to return systems within tolerable operation for mission success
202462e70554b746849bde379f81a80fdc7cc0d2,"Maintains aircraft flight record and maintenance status forms, and records flight logs and reports.",maintains aircraft flight record and maintenance status forms  and records flight logs and reports
2185f62888c5fac68f7af97cd0da661644e660ce,"Performs non-scheduled minor aircraft maintenance, inspections, field repair, and servicing of fuel, oil, and hydraulic fluid.",performs non scheduled minor aircraft maintenance  inspections  field repair  and servicing of fuel  oil  and hydraulic fluid
af0cddeaff599d113db521e2474b760c2c53757d,Operates and monitors in-flight refueling systems and operations.,operates and monitors in flight refueling systems and operations
2956b7f7439f6c29305fed77f8998c417b303237,Performs flight testing and functional check flight following aircraft maintenance of aircraft system upgrades.,performs flight testing and functional check flight following aircraft maintenance of aircraft system upgrades
ced8b9f47c12f822c10a67ed9e9b138a63d15426,"Manages/conducts/completes aircraft checklists for takeoff/landing, ground/air refueling operations, alternate insertion/extraction, military freefall, aerial gunnery, cargo loading, and aircraft malfunctions/emergency procedures.",manages conducts completes aircraft checklists for takeoff landing  ground air refueling operations  alternate insertion extraction  military freefall  aerial gunnery  cargo loading  and aircraft malfunctions emergency procedures
c2bdff003904b8a5b76c716c94a822208500c0b7,Operates mission planning systems and software.,operates mission planning systems and software
6c0009c5908a78e08ef680327ffd6b17cbad4e05,"Collaborates with crewmembers to generate mission plans through analysis and determination of fuel loads and mission requirements, plotting flight routes, considering airspeed, distance, method of navigation, altitudes, weather conditions, threats, and terrain.",collaborates with crewmembers to generate mission plans through analysis and determination of fuel loads and mission requirements  plotting flight routes  considering airspeed  distance  method of navigation  altitudes  weather conditions  threats  and terrain
0c84acdd378f6c633f9b63b44fd22af569ba611f,"Manages mission and advises crewmembers of ongoing mission status, aircraft capabilities, calculating time-on-target, changes to flight plans, and correcting deviations.",manages mission and advises crewmembers of ongoing mission status  aircraft capabilities  calculating time on target  changes to flight plans  and correcting deviations
d5e5849df2baf61169eae359a8b2fd4cb035746e,"Monitors the aircraft's altitude, airspeed, fuel consumption, weather/terrain-following radar information, and weapon/defensive systems status during all phases of flight.",monitors the aircraft s altitude  airspeed  fuel consumption  weather terrain following radar information  and weapon defensive systems status during all phases of flight
8e3b727207f18e0d1472fc400f4a78630807eaea,"Monitors adherence to, transmits and receives air traffic clearances, arrival/departure procedures, and joint force command and control mission directives.",monitors adherence to  transmits and receives air traffic clearances  arrival departure procedures  and joint force command and control mission directives
8df46c8f2b316e68b75c401c0c320c20961439e0,Performs inspections and operational checks of aircraft defensive systems according to flight manual procedures.,performs inspections and operational checks of aircraft defensive systems according to flight manual procedures
560df524085403e743622d32bee4b2eaff3e1935,"Identifies and counters air defense systems such as: radar, infrared, and optically guided surface-to-air missiles, antiaircraft artillery; operates radar jamming, chaff/flares, and directs aircraft evasive maneuvers to deceive/defeat potential threats.",identifies and counters air defense systems such as  radar  infrared  and optically guided surface to air missiles  antiaircraft artillery  operates radar jamming  chaff flares  and directs aircraft evasive maneuvers to deceive defeat potential threats
882e47b80b49403ee53d2727b5e2ea15b444d887,"Inspects and operates airborne communications, various sensor systems, radar, computers, Electronic Protection, and Electronic Warfare systems.",inspects and operates airborne communications  various sensor systems  radar  computers  electronic protection  and electronic warfare systems
f72d8b1e615642fd8cc3393810868e2d984ecca5,Determines optimum airborne equipment settings based on computer-generated console situation and tabular displays.,determines optimum airborne equipment settings based on computer generated console situation and tabular displays
b87a4b9669ea7651492c0f7b8cb84d7c54d5c067,Inspects and operates aircraft secure radios and sensor systems according to flight manual procedures.,inspects and operates aircraft secure radios and sensor systems according to flight manual procedures
e1d84cb64864b9be7443420e5c17c251fda87a13,"Loads classified operating parameters/cryptologic keys, troubleshoots, and operates radar frequency countermeasure systems, infrared countermeasure systems, over the horizon threat/survivor advisory systems, missile warning systems, forward-looking infrared radar, satellite/frequency-hopping/secured communications systems and complex add-on mission systems that provide encrypted communications, full motion video and situational awareness suites.",loads classified operating parameters cryptologic keys  troubleshoots  and operates radar frequency countermeasure systems  infrared countermeasure systems  over the horizon threat survivor advisory systems  missile warning systems  forward looking infrared radar  satellite frequency hopping secured communications systems and complex add on mission systems that provide encrypted communications  full motion video and situational awareness suites
d5b57d7781fcc0da7c894dd99988c162eda81578,Performs pre-flight visual inspections and operational checks of aircraft cargo/airdrop systems in accordance with applicable flight manuals.,performs pre flight visual inspections and operational checks of aircraft cargo airdrop systems in accordance with applicable flight manuals
92b050ca061b1f7a3dcd441841b58499e898b8e4,"Develops the cargo loading plan, considering the quantity, weight and configuration of the load, floor capacity, emergency jettison requirements, and proper location in the cargo compartment to achieve optimum center of gravity throughout the flight, reviews load plans and cargo documentation.",develops the cargo loading plan  considering the quantity  weight and configuration of the load  floor capacity  emergency jettison requirements  and proper location in the cargo compartment to achieve optimum center of gravity throughout the flight  reviews load plans and cargo documentation
a086bcc8d193e28e64ca2ee3a04988679683411e,"Determines and verifies passenger, cargo, fuel, and emergency and special equipment distribution and weight.
25 DAFECD, 30 Apr 25 Loads cargo/vehicles/personnel, ensures restraint/security is provided to prevent shifting in flight and conducts air and ground infiltration and exfiltration operations to include aerial delivery of personnel and equipment and cargo sling operations.",determines and verifies passenger  cargo  fuel  and emergency and special equipment distribution and weight  25 dafecd  30 apr 25 loads cargo vehicles personnel  ensures restraint security is provided to prevent shifting in flight and conducts air and ground infiltration and exfiltration operations to include aerial delivery of personnel and equipment and cargo sling operations
45c21c032cfdc12e5d1d17c7661cc451dc2262a4,"Computes the proper positioning of the aircraft to drop cargo or personnel, considering conditions at the drop zone and parachute aerodynamics to determine release point in mission planning and in-flight.",computes the proper positioning of the aircraft to drop cargo or personnel  considering conditions at the drop zone and parachute aerodynamics to determine release point in mission planning and in flight
a900298e369e5d55fb3f2c5016895fd97b9b4a98,"Checks tie downs, parachutes, containers, suspension systems, and extraction systems to ensure proper cargo extraction or release.",checks tie downs  parachutes  containers  suspension systems  and extraction systems to ensure proper cargo extraction or release
f4d723d47159f7e6ee219edf2923175ea2889749,Receives and signs receipts for and stows in-flight meals.,receives and signs receipts for and stows in flight meals
0af4e29018af37563318620f6478c8ffb3cae27f,Ensures availability of fleet service equipment and passenger comfort items.,ensures availability of fleet service equipment and passenger comfort items
250d07b99aca451841803d2dbe9483a0f83d9da6,"Serves as the pilot's liaison interfacing with passengers, military support agencies and foreign clearance organizations such as customs and agricultural officials.",serves as the pilot s liaison interfacing with passengers  military support agencies and foreign clearance organizations such as customs and agricultural officials
20358bfdfdf780bfcf3f2553f7f3c709a26200cf,Performs pre-flight visual inspections and operational checks of aircraft weapons systems in accordance with applicable flight manuals.,performs pre flight visual inspections and operational checks of aircraft weapons systems in accordance with applicable flight manuals
fab360bb11df100e8b3a9a2234d9b31ad87bb473,Performs in-flight maintenance of airborne weapons systems and associated equipment.,performs in flight maintenance of airborne weapons systems and associated equipment
510a63bac9e3752d24aad58b3d7d356ca016da2b,Applies decisive actions to restore malfunctioning systems to operational condition.,applies decisive actions to restore malfunctioning systems to operational condition
1a50a445e39c45791c2f844b4366968a6efa7a2c,"Loads, operates, and positions crew-served weapons and ammunition types for a variety of aircraft.",loads  operates  and positions crew served weapons and ammunition types for a variety of aircraft
